"fecha","prueba","dispositivo","marca","modelo","so","lector","zona","distancia","esperado","codigo","clasificacion","resultado","tiempo_deteccion_ms","latencia_clasificacion_ms","captura","red","ping_ms","down_mbps","up_mbps","observaciones"
"2026-09-02T06:02:43.242Z","PDA-20260902-01","Teléfono","","","","Cámara","1158pm1sept","<1 m","SKU","QMR-FR000000000389","SKU","OK","667","761","Cámara de celular","","","","",""
"2026-09-02T06:02:39.857Z","PDA-20260902-01","Teléfono","","","","Cámara","1158pm1sept","<1 m","SKU","QMR-FR000000000389","SKU","OK","413","704","Cámara de celular","","","","",""
"2026-09-02T06:02:36.689Z","PDA-20260902-01","Teléfono","","","","Cámara","1158pm1sept","<1 m","SKU","QMR-FR000000000389","SKU","OK","454","617","Cámara de celular","","","","",""
"2026-09-02T06:02:33.612Z","PDA-20260902-01","Teléfono","","","","Cámara","1158pm1sept","<1 m","SKU","QMR-FR000000000389","SKU","OK","2838","628","Cámara de celular","","","","",""
"2026-09-02T06:02:26.142Z","PDA-20260902-01","Teléfono","","","","Cámara","1158pm1sept","<1 m","SKU","QMR-FR000000000389","SKU","OK","15059","704","Cámara de celular","","","","",""
"2026-09-02T06:02:03.311Z","PDA-20260902-01","Teléfono","","","","Cámara","1158pm1sept","<1 m","SKU","QMR-FR000000000389","SKU","OK","28072","997","Cámara de celular","","","","",""
"2026-09-02T06:01:34.188Z","PDA-20260902-01","Teléfono","","","","Cámara","1158pm1sept","<1 m","SKU","7503004908691","No encontrado","Reconocido pero no encontrado","3258","868","Cámara de celular","","","","",""
"2026-09-02T06:01:01.658Z","PDA-20260902-01","Teléfono","","","","Cámara","1158pm1sept","<1 m","SKU","QMR-FR000000000389","SKU","OK","6137","725","Cámara de celular","","","","",""
"2026-09-02T06:00:54.698Z","PDA-20260902-01","Teléfono","","","","Cámara","1158pm1sept","<1 m","SKU","101602005","No encontrado","Reconocido pero no encontrado","2264","866","Cámara de celular","","","","",""
"2026-09-02T06:00:43.155Z","PDA-20260902-01","Teléfono","","","","Cámara","1158pm1sept","<1 m","SKU","QMR-FR000000000389","SKU","OK","1444","1186","Cámara de celular","","","","","Muy bien"
"2026-09-02T05:58:37.528Z","PDA-20260902-01","Teléfono","","","","Cámara","1158pm1sept","<1 m","SKU","QMR-FR000000000389","SKU","OK","2456","1225","Cámara de celular","","","","",""
